Name,Age,Gender,Location,Daily_Usage_Hours,Sleep_Hours,Interllectual_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
Dawn Henry,13,Male,Johnhaven,5.2,6.4,61,10,2.4,5,6,8,0.8,136,7,2.6,3.5,0.7,Education,1,5.7,10
Michael Strickland,15,Male,Jonesborough,5.9,7.4,84,8,0.6,10,2,1,1.5,49,12,2,1.7,0.2,Education,10,4.1,9.3
Randy Hunt,14,Male,Jennybury,2.1,4.6,57,1,1,3,6,7,1,86,13,2.3,2.1,0.8,Education,9,5.4,8.5
Michael Maldonado,18,Other,Lake Michael,4.3,7.8,78,8,1.6,6,1,10,0.9,42,19,2,0,0.8,Education,9,7.6,7
John Fletcher,16,Other,Jimenezside,5.6,6.9,96,8,0.5,10,1,1,1.2,87,17,3.7,0.3,0.8,Education,10,6.5,10
Joseph Taylor,18,Male,Lake Nicole,5,8.5,55,9,0.3,8,4,7,0.7,133,5,1.8,0.1,2.2,Social Media,7,6,6.3
Henry Acosta,19,Female,Greeneland,6,6.9,77,10,0.7,4,6,5,0.9,54,7,2.6,0.2,2.2,Gaming,5,8.2,7.8
David Cox,18,Female,Gonzalezton,3.3,8.7,72,9,1.4,10,4,5,0,144,9,1.7,0.6,0.7,Education,4,10.4,5.9
Daniel Rowland,19,Male,East Jonathan,4.2,8.3,81,7,1.6,9,10,8,0.4,96,20,1.9,3.8,0.3,Education,10,5.3,10
Samantha Castillo,17,Male,Douglasport,5,7.1,74,9,1.7,9,9,5,1,66,18,3.1,2.2,0.2,Browsing,9,9.3,10
Frank Davis,19,Female,West Kelly,7.3,4.9,73,6,0.8,10,9,8,1.2,33,15,2.5,0.6,0.6,Browsing,3,7,10
Bradley Brooks,17,Other,Port David,7,5,50,9,2.1,5,10,1,1.3,51,19,2.5,1.8,1.8,Other,10,7.9,10
Patricia Mcfarland,18,Male,Derekborough,3,3.1,66,7,0,3,6,9,1.4,33,20,3.4,1.6,1.2,Gaming,6,5.5,10
Rebekah Martinez,17,Other,South Maurice,6.1,4.6,85,4,1.4,5,2,7,0.1,39,5,2.6,0.4,1.2,Gaming,5,5.8,8.6
April Patton,18,Other,Port Michaelhaven,3.4,4.4,85,7,0.2,9,7,7,0,51,20,2.6,0,2,Other,6,4.7,8.8
Kathryn Anderson,15,Other,Port Katie,6.3,6.9,71,3,0.4,6,9,5,0.8,32,17,2.5,2.8,2.3,Gaming,6,4.2,10
Michael Campbell,18,Female,Hicksburgh,4.7,8.6,73,7,1.4,10,6,8,0.7,115,10,2.8,1.7,0.9,Other,6,7.3,9.2
Joseph Johnson,19,Other,Parkerburgh,6.1,5.3,75,6,0.4,7,8,5,1.8,58,12,5,0.2,0.9,Browsing,4,5.3,10
Ashley Mathews,17,Other,South Sandra,5.2,5.7,53,6,0.1,5,6,4,1.1,24,7,3.5,0.6,0.6,Gaming,2,4.8,8.3
Derek Moore,14,Female,Candicechester,4.4,3,94,3,0,2,1,2,0.2,142,8,3.4,1,1.3,Social Media,7,7.3,10
Jennifer Navarro,16,Other,West Gary,3.1,6.3,59,8,2.3,6,10,2,0.6,39,18,3.3,2.3,1.5,Other,2,3,9.9
Felicia Prince,15,Other,Zacharyland,6.1,5.8,99,7,1.7,8,7,7,0.2,66,19,4.2,0,1.3,Gaming,7,8.9,10
Tracey Green,16,Male,Ortizview,7.7,3.5,71,10,0,2,2,5,0.9,32,19,4.2,2.8,1.4,Gaming,5,5.6,10
Joel Patterson,18,Other,Jessicabury,8.1,7.8,84,8,1,2,5,7,0.9,53,10,2,0,0.5,Browsing,2,7,9.3
Ronald Robertson,15,Female,West Amber,5.3,8.8,99,9,0.7,4,9,3,1.3,119,11,0.7,2.9,1.8,Other,4,6.2,9.1
Nicholas Brown,13,Other,South Jose,4,6,51,2,1,4,6,3,0.3,113,20,3.7,1.9,0,Other,4,7.4,10
Jennifer Chavez,14,Female,Robertside,4.5,6.2,97,6,0.8,3,10,10,1,90,7,3.1,0.4,0,Browsing,8,8.9,8.1
Sheila Powell,15,Male,New Davidhaven,5.4,6.1,80,10,1.3,1,5,8,0.8,108,13,1.3,0.7,1.2,Gaming,6,1.4,9.1
Melissa Johnson,18,Female,North Austin,5,5,77,9,0.4,7,1,8,0.4,124,9,3,1.5,0.1,Education,9,7.5,10
Erin Green,16,Female,Jonesfurt,4.5,3.1,74,7,0.8,2,8,4,1.2,45,12,2.2,3,0.7,Social Media,7,5.4,10
Frederick Roberts,16,Other,Port Ronaldmouth,2.9,8,76,0,1.6,4,7,6,0.7,128,5,1.5,0.2,0.7,Other,4,3.6,4.2
Jeffrey Jordan,19,Male,South Michael,4.5,8.7,100,2,1.9,5,10,5,1,127,6,2.7,2.4,1,Browsing,2,5.5,9
Jeremy Stone,18,Female,East Tiffanyton,7.1,7.7,99,10,0.2,3,1,9,0.7,96,13,5,1.6,1,Gaming,7,6.7,10
Debbie Walters,18,Male,Thomasville,5.4,9.2,57,0,1.6,3,5,3,0.1,66,14,1.7,0.1,1.1,Gaming,6,8.9,6.7
Troy Stephens,13,Female,Port Joyborough,5.5,9.3,57,8,1.3,2,4,10,0.8,119,19,2.5,1,0.5,Gaming,6,5.1,10
Savannah Taylor,15,Male,South Colleenborough,1.9,6.3,61,1,2,7,3,5,1,26,20,1.6,1.7,1.9,Browsing,2,8,6.6
Mark Caldwell,18,Other,Joneschester,3.7,7.1,64,0,1.4,3,10,5,0.9,148,16,2.1,2.8,1.7,Browsing,7,6.2,10
Samuel Johnson,16,Female,New Gregory,6.7,4.6,85,7,1.2,8,7,1,2.1,115,5,2.2,1.7,0.9,Education,4,4.7,10
Kristen Moore,14,Other,East Alyssaside,4.5,5.6,95,3,0,1,6,4,1,27,18,2.6,1.8,0.8,Gaming,4,9.2,10
Donna Wood,18,Other,Stevenshire,7.8,8,61,1,0.5,1,3,2,1.1,89,18,2.9,0.5,0.8,Education,1,8.8,10
Michael Johnson,16,Male,New Lori,4.1,6.2,61,6,0.2,3,7,10,1.3,46,12,2.7,2.6,0.8,Social Media,1,4.4,9.6
Duane Rivers,16,Female,North Alexton,5,6.1,53,0,1.6,1,4,8,0.6,85,5,3.5,0.8,1.1,Education,9,6.6,9
Robin Dougherty,15,Other,South Jasmine,1.3,7.4,77,1,0,8,10,4,1.6,106,16,2.6,1.7,0.2,Other,2,5.9,7.2
Bridget Santos,18,Other,South Bobbyland,10.6,6.7,79,6,0.2,4,5,5,0.5,97,20,1,1.8,2.2,Education,1,7.4,10
Autumn Walters,14,Other,North Terry,4.7,5.6,65,10,2.2,8,4,5,1.5,125,13,3.3,0.4,0.1,Other,10,7.9,10
Shelley Bass,19,Other,Sherryburgh,7.1,3.8,91,7,1.4,7,4,10,1.3,67,5,2.7,1.2,1,Education,1,4.1,10
Joseph Avila,18,Other,Davidberg,7.3,3.5,83,9,0.7,5,8,6,1.1,20,19,2.7,0.9,1.6,Social Media,8,4.4,10
Evelyn Martin,16,Male,Deborahfort,6.6,7,60,0,0.5,5,2,9,1.1,66,13,2.6,1.1,0.1,Social Media,6,6.2,10
Cheryl Castillo,18,Other,Paigefort,4.1,5,54,1,0.2,7,9,9,0.7,31,11,3.1,0.9,0.7,Education,8,7.7,8.4
Erika Dean,16,Other,Margaretville,6.6,5.4,58,6,1.7,3,10,3,2.3,83,9,2.7,2.8,1.7,Browsing,6,6.2,10
John Sullivan,19,Female,Port Peterhaven,4.2,7.4,98,2,1.3,10,1,8,0.3,65,5,3.2,1.9,1,Education,7,14,7.9
Angela Johnson,13,Female,Holmesburgh,8.2,6.9,50,6,0.9,6,7,1,1.2,22,7,1.4,0.7,1.4,Browsing,3,3.1,8.7
Nancy Anderson,14,Female,Lake John,6.5,4.9,90,10,1.6,8,7,4,1.1,46,13,3,1.3,0,Social Media,9,8.7,10
Melissa Griffith,14,Male,Port Michaelfurt,4.3,8.4,61,10,0,2,1,8,1.1,147,9,1.9,1.1,0,Other,10,4.2,7.8
Whitney Montes,16,Male,West Taylor,4.7,4.9,90,1,1,3,3,5,1.8,101,12,2.1,1.6,1.2,Gaming,6,6.4,10
Scott Glass,16,Female,Morrowmouth,6.6,5.4,51,3,0.7,2,3,10,1.5,114,11,2.1,1.9,0.9,Education,9,4.1,10
Bruce Harmon,15,Male,East Wayneland,5.6,8,70,6,0.3,7,10,8,1.1,128,15,2,2.3,0.9,Social Media,3,7.2,10
Andrew Martin,19,Male,Phillipsfort,4.4,6.1,76,2,0.8,3,2,3,1.4,58,7,3.6,1,0.7,Social Media,8,6,8.5
Alejandro Jennings,19,Female,Kaylaport,3.1,5.7,53,10,0.4,3,7,5,0.5,46,16,3.2,2.1,0.5,Gaming,3,4.6,9.7
James Barrett,15,Female,Mooremouth,4.3,6.7,93,8,1.1,2,10,9,1.9,74,12,3.1,0.2,0.5,Browsing,3,2.9,8.1
Joshua Mendoza,13,Male,Parsonsshire,7.4,4.3,97,1,1.7,4,5,5,1.7,69,6,1.1,1.4,0.2,Education,5,2.3,10
Gabriela Waters,14,Female,Kristentown,6.2,5.2,65,9,1,8,3,6,1,104,8,1.7,2.6,0.9,Social Media,1,6.2,10
Tiffany Mcdonald,19,Male,Kingport,4.3,5.8,88,7,2.1,10,3,6,0.7,126,9,2.4,1.2,0.8,Browsing,3,6,9.3
Stephanie Weber,16,Other,Deborahstad,6.5,4.7,71,5,0,7,2,9,1,138,13,3.6,0.5,0.5,Education,10,5.2,10
Philip Romero,15,Male,Garciaview,3.4,8.9,86,9,1.4,7,8,6,2.4,43,13,2.5,2.2,1.2,Gaming,3,3.4,7.1
Eric Baldwin,16,Other,East Heidi,4.9,6.8,56,1,0.9,2,7,5,0.6,86,11,2.8,2,0.7,Social Media,5,8.7,10
Tina Fuller,18,Other,Heiditown,8.7,5.4,86,0,0.7,1,8,6,0.7,141,19,2.2,0.4,0,Education,4,5.2,10
Phillip Goodman,16,Female,South Joan,8.2,5.3,65,6,1.7,3,10,7,1.3,90,10,2.6,1.7,1.5,Browsing,2,4,10
John Allen,16,Female,Margaretburgh,5.7,6.5,69,10,0,3,10,3,0.7,57,9,3,0.6,0.8,Browsing,10,8,9
Jose Wagner,13,Other,Amandatown,6.6,4.6,80,9,0.8,3,4,3,0.8,144,6,1.4,2.3,0.8,Social Media,6,6.3,10
Franklin Russell,16,Male,Mathisport,4.9,4.6,59,0,2.5,10,5,5,1.1,94,16,3.4,0.7,1.3,Social Media,1,5.7,10
James West,16,Male,West Nicole,5.8,6.3,64,9,0.5,5,1,7,1.1,35,12,2.8,1.4,1.3,Gaming,7,7.3,10
Cynthia Burke,19,Male,Lake Holly,7.1,7,83,2,1.7,5,6,2,0.9,75,15,2.1,1.3,0.5,Education,9,8.3,10
Margaret Thompson,14,Female,West Dominichaven,6.3,7.6,58,2,0.5,1,6,6,1.3,34,5,1.4,1.8,1.9,Social Media,7,5.2,7.4
Tony Bowers,19,Female,Rebeccaville,5.1,5.8,71,1,1.4,5,2,3,0.8,133,15,3.3,0,1.2,Gaming,9,1,10
Chase Knapp,16,Other,Ashleyport,9,7.1,73,5,0.4,9,5,6,1.9,29,19,2.5,2.5,1.1,Social Media,7,5.7,10
Dr. Travis Estrada,14,Female,Michelleburgh,4.2,8.1,78,1,1.6,9,3,7,0.4,110,11,4.9,1.3,0.9,Gaming,1,2.2,10
Mrs. Andrea Figueroa,17,Other,Jefferymouth,2.9,6.2,50,1,0.6,2,8,9,1.5,56,5,3,1.1,0.8,Education,6,5.2,6
Michael May,15,Female,Jaredtown,3.1,4.6,90,9,0.9,5,3,5,1.5,85,6,1.8,3.1,1.4,Social Media,8,3.2,8.6
Timothy Taylor,15,Female,Thomasmouth,5.5,6.5,67,10,0.9,10,2,4,1.8,120,14,2.8,1.1,1.8,Browsing,7,3.9,10
Shawn Finley,19,Female,Lake Kelly,6.4,5,74,1,2.3,1,4,5,0.9,66,16,1.9,2.6,0.7,Browsing,4,7.6,10
Kenneth Carlson,15,Female,Madisonstad,6,7.7,97,6,1.8,2,10,6,0.8,144,13,2.3,2.4,0.7,Other,3,6.2,10
Holly Massey,14,Other,Port Benjamin,4.4,7,91,6,1.4,4,7,5,0.3,104,11,4.2,1.5,0.8,Social Media,6,5,10
Mrs. Alisha Moore MD,14,Male,Marshalltown,9.3,6.8,94,0,0,5,2,1,1.2,97,12,3.1,0.1,1.2,Other,1,5.7,10
Daniel Walton,13,Female,Emilyborough,3.8,8,70,2,1.8,4,1,1,1.6,70,20,4.2,0.9,1.2,Browsing,5,8,10
Marisa Bryant,17,Female,Sharpport,8.5,5,61,10,0,10,5,1,0.4,76,18,3.2,1.6,0.8,Gaming,5,4,10
Zachary Russell,14,Other,Port Carolineborough,2.7,5.7,76,5,1,1,8,6,1.1,60,14,0.9,0.6,0.9,Browsing,9,6.1,5.4
Deborah Mendez,19,Male,West Charles,5.7,4.8,64,1,1,9,10,8,2,106,13,4.5,1.5,0,Education,5,8.6,10
Michael Richard,19,Other,New Robin,5.3,6.9,51,0,0,9,9,4,1.4,143,10,2.1,1.6,1.5,Gaming,4,3.5,10
Kayla Jenkins,19,Female,Andrewtown,7.9,5.1,91,2,0.1,6,5,4,0.7,116,13,3.1,0.4,1.8,Browsing,10,3.5,10
Mark Thomas,19,Other,Lake Nicolefurt,7.4,7.6,58,5,0.3,9,7,6,1,129,8,4.3,0.1,1.1,Social Media,4,4.2,10
Nina Humphrey,13,Male,New Carlabury,8.4,7.7,100,1,1.9,8,3,10,1.6,47,14,3.4,1.5,2.2,Gaming,1,4,10
Alicia Ayala,16,Other,Conradland,2.8,6.9,77,2,1.9,8,7,4,1.8,93,5,1.8,3.5,0.5,Other,2,7.8,7.5
Kevin Page,19,Female,Brownport,6.8,8.6,73,6,0,6,5,6,0.9,66,20,2.3,1.4,1,Education,2,5.5,10
Edward Palmer,14,Other,Port Stephen,5.1,3.4,96,3,0.9,2,3,3,1.3,104,13,2.9,0.3,1.3,Browsing,10,3.3,10
Walter Howell,16,Male,Shannonport,5.8,5.3,99,6,0.8,2,4,5,0.4,41,18,2.3,1.6,1.5,Gaming,10,4.1,10
Timothy Adams,13,Other,New Larry,6.1,7.2,72,8,0.3,6,2,9,0.9,140,8,1.4,1.8,0.3,Browsing,3,4.7,10
Devon Coffey,15,Other,Mcculloughville,2.7,4.5,100,10,1.2,2,10,1,1.1,116,12,3.2,0.2,0.2,Social Media,4,1.9,8.6
Richard Smith,18,Female,Michaelchester,7.4,5.4,83,7,1,8,8,7,1.4,75,17,1.6,1.2,2.1,Social Media,4,6.5,10
Karen Lynch,16,Female,Jacobville,0.9,6.3,85,3,2.5,6,7,8,0.6,36,8,2.5,0.5,1.9,Education,5,3.3,3.1
Jeffrey Davis,16,Other,South Marie,3.5,6.6,74,6,2,10,7,1,1.1,126,10,2.2,0.9,0,Other,1,5.1,7.8
Reginald Calhoun,13,Male,West Cody,0.9,3.8,79,0,2.4,8,7,1,0.8,72,18,1.6,4,0.5,Browsing,1,6.6,9.6
Anthony Smith,16,Female,South Dalehaven,6.1,4.5,83,4,1,10,10,7,1.4,41,20,2.2,1,2.1,Browsing,7,5.5,10
Anthony Allen,15,Other,Port Austin,3.4,9.2,81,8,0.8,2,6,6,1,112,14,3.6,1.6,1.6,Gaming,2,6,9
Michael Wilkerson,15,Male,New David,3.9,9.1,100,8,1,9,1,3,1.1,116,8,3,1.2,1.9,Other,8,8.9,7.5
Jackson Martinez,15,Other,Walshbury,5,8.7,84,0,1.4,10,3,9,1.6,117,14,2.5,0.9,0,Other,3,6.4,9.2
Amy Fox,15,Male,New Shirleybury,7.8,6.8,98,2,1.4,10,9,3,0.8,39,18,1.1,0.8,1.8,Gaming,8,6,10
Mr. Mitchell Smith,18,Female,New Phillipland,1.3,7.7,79,7,1.2,5,6,1,1.3,104,10,2.4,2.7,1.7,Social Media,1,9.9,6.6
Jeffrey Jones,13,Male,Baldwinborough,8.7,7.3,66,0,1.9,6,1,9,1.2,95,15,3.2,0.7,0.4,Other,2,8.8,10
George Lewis,14,Female,Port Cindy,4.2,4.8,56,0,1.3,6,3,7,1.2,115,14,2.4,1.9,2,Education,4,9.4,10
Thomas Schneider,14,Other,New Jessechester,5.1,10,95,7,1.7,10,2,7,1.1,67,8,2.8,1.6,1.9,Other,2,5.6,7.4
Jeffrey Ramsey,16,Female,Lake David,3.5,5.3,57,0,0,8,3,10,0.8,47,19,2.8,1.2,1.6,Social Media,10,5.6,9.6
Paul Jenkins,16,Female,North Michael,5.8,6.6,63,9,1,2,2,10,0.2,48,10,0.6,1,0,Browsing,4,4.7,7.1
Emily Flynn,17,Other,Franklinville,5.8,8.4,73,4,0,1,10,3,1.1,67,6,2.1,2.6,0.4,Gaming,10,7.1,8.8
Ashley Lee,19,Other,Kingberg,3.8,7.5,63,7,0.8,6,5,5,1.5,83,20,2.9,0.9,0.2,Social Media,6,4.7,9.5
Sheila Hart,18,Other,East Carlosmouth,5.9,7.6,59,0,1.5,6,1,1,1.5,129,20,0.4,1.3,0.9,Social Media,3,6.9,10
Joan Aguilar,13,Other,Lake Anthony,5,6.6,97,8,0,2,8,6,1.1,116,14,2.7,2.7,0.2,Education,7,4.8,10
Dominique Allen,17,Female,Tylerhaven,2,4.1,95,10,1.3,7,6,2,0.7,38,7,2,3,0.7,Social Media,1,6.4,7.1
Lindsey Hawkins,15,Male,Cruzhaven,4.6,4.4,88,4,0,4,3,5,1.2,45,15,3.5,1.6,0.3,Social Media,10,2.2,10
Shelia Robinson,14,Other,Youngbury,2.4,6.3,87,0,0,4,4,7,1.7,89,5,2.8,0.3,1.8,Education,3,3.3,5.1
Angel Morris,17,Male,Lake Coryville,5.4,7.1,100,5,1.4,10,2,4,1.3,58,6,2.2,3,0.5,Other,2,7.1,9.4
Richard Henry,16,Female,Port Jamesstad,3.7,7.3,62,1,1,8,4,10,0.1,108,5,1.8,1.7,0,Browsing,3,0.1,6.7
Louis Cline,14,Other,South Rhonda,2.4,4.6,80,3,2.1,6,3,8,1,22,6,4.7,2.6,1,Other,4,3.2,9
Tamara Rogers,18,Other,Candacefurt,4.7,7.7,97,1,0,7,10,10,0.8,107,18,1.9,1.5,1,Gaming,6,4.1,10
Timothy Smith,16,Male,Michaelburgh,6.9,6.6,76,3,0,3,8,3,0.6,24,19,0.9,1.5,0.8,Other,6,7.2,10
Mr. Jeffrey Park,13,Female,East Felicia,3.7,6.1,82,0,3.1,9,2,5,1,119,14,2.7,0.5,1,Gaming,3,5.6,9
Roberta Hoover,16,Other,Jamesshire,4,6.7,57,10,1,9,10,9,1.1,123,20,3.9,1.5,0,Education,9,7.7,10
Deborah Shelton,17,Female,North Brianberg,3.7,6.6,56,5,0.9,4,8,1,1.1,108,20,3.5,1.6,1.2,Browsing,10,3.3,10
Vanessa Williams,17,Other,South Stevenport,4.2,6.6,85,1,0,1,1,8,1.1,46,16,4.9,0,0.5,Browsing,4,4.4,9.9
Joshua Sullivan,13,Other,Millerberg,5,6.9,78,8,1.2,4,8,6,0.9,75,13,1.7,0.5,1,Social Media,7,6.6,7.8
Heather Caldwell,16,Other,West Russellshire,8.7,5.7,65,2,0.7,6,7,1,0.7,38,17,3.2,0.8,1.8,Browsing,6,6.6,10
Andrew Bray,13,Female,Mahoneyland,4.2,6.3,90,8,2.6,9,4,5,0.4,59,8,1.8,0,1.8,Social Media,10,10.8,5.6
Amy Duncan,17,Other,Georgeberg,3.8,4.6,93,5,0.2,3,2,8,1.8,64,5,2.2,3.4,0.4,Gaming,7,6.7,9.4
Steven Estrada,18,Other,East Wanda,4.4,7,61,1,0,6,4,10,1.3,110,20,0.7,0,1.7,Browsing,8,0.2,7.8
Olivia Haynes,15,Female,Scottton,4,7.5,51,8,1.5,10,6,10,0.7,47,8,1.9,2.7,2.6,Social Media,8,5.4,7.4
Francisco Henry,15,Male,North Lauren,5.1,5.1,57,9,2,9,8,9,1.2,20,9,3,0.4,0.8,Other,2,3.7,8.2
Michael Lowe,19,Female,Gregoryside,4.8,5.6,84,5,1.4,7,10,3,1.9,95,8,2.3,2.5,0.9,Other,8,11.2,10
Leslie Parsons,14,Male,Port Markstad,5.5,4.7,81,3,0.6,8,9,9,0.4,60,7,2.7,1.6,1.7,Education,10,5.6,10
Dana Marshall,19,Female,West Melvin,3.7,7.3,97,4,0.7,7,9,1,1.5,147,14,3,1.1,1.2,Education,4,7.1,9.9
Alyssa Jenkins,19,Male,New Joannachester,9.4,8,97,5,0.8,2,6,2,0.7,53,11,3.6,2.5,0.7,Social Media,8,6.2,10
Luis Crawford,16,Other,South Brendashire,5.4,9,50,1,0.6,6,3,9,0.1,20,9,1.2,2.5,1,Browsing,9,2,6.8
Angela Walker,18,Female,Nathanland,2.4,7.7,92,10,0.9,10,6,7,2.2,37,19,1.8,1.9,1.8,Browsing,7,4.9,6.8
Michele Winters,18,Other,Andersonborough,6.7,7.1,82,2,0,6,9,3,0.8,56,14,1,1.4,1.9,Other,3,6.9,9.5
Emma Young,18,Female,East Ian,5.7,5.1,70,3,1.5,4,1,2,1.3,37,6,1.2,1.2,0,Other,3,3.8,7.5
Brooke Sanders,19,Other,Port Andrew,4.8,8.9,89,7,0.2,10,1,10,1.3,57,12,2,1.7,0.4,Other,5,8,7.6
Alyssa Massey,19,Other,Thomasmouth,6.2,7.6,85,9,1.5,1,1,4,1.6,37,11,0.7,1.9,0.9,Education,8,8.9,7.9
Adam Nunez,17,Female,South Elizabethshire,5.5,7.9,90,4,0.8,6,5,5,1.6,26,5,2.1,0.6,0.8,Gaming,5,7.9,5.8
John Flores,13,Male,North Chadfort,4.8,6.4,81,10,1.1,6,5,6,1.1,97,11,2.2,2,1.1,Education,3,4.5,9.9
Kaitlyn Wheeler,13,Female,Hunterborough,6.2,6.5,99,1,0.3,9,5,1,0,23,17,1.2,2.4,2.2,Gaming,9,9,10
Justin Dixon,13,Other,Donaldborough,1.1,6,82,3,1.8,10,9,10,0.7,29,6,3,0.3,0.9,Other,8,8.9,3.2
Alicia Morrison,14,Male,Amandaburgh,3.1,8.6,57,7,1.5,3,3,7,1.9,69,11,1.8,1.3,1.2,Browsing,8,2.7,5.5
Colleen Perkins,15,Female,Anthonyview,6.8,5.2,55,0,2,2,10,10,0.8,58,16,3.4,0.6,0.3,Education,2,7.8,10
Annette Rodriguez,15,Other,East Jacquelineland,4.8,5.6,82,3,0,9,6,9,1.9,106,11,3.4,1.6,0.4,Other,6,6.1,10
Martin Singleton,15,Female,Michaelberg,3,8.5,63,1,0.8,8,9,8,1,73,8,3.3,0,1,Social Media,4,3,5.1
Dana Jimenez,15,Male,South Tabitha,8,5.3,68,1,0.6,2,4,3,0.8,106,10,1.3,0.5,1.5,Gaming,8,5.9,10
Meagan Bradley,15,Male,Millerport,3.3,6.5,51,9,0.1,6,4,2,0.7,44,20,3.2,2.3,0,Gaming,10,1.1,10
Christine Bryant,13,Male,Cherylborough,8.2,8.3,56,3,1.8,4,6,3,1.2,80,20,2.6,2.6,1.2,Education,4,1.6,10
Andrew Haney,14,Other,Fosterfurt,8.5,9.2,51,8,1.1,5,2,10,1.3,104,12,1.4,3,0.7,Social Media,9,6.9,10
Morgan Weaver,19,Female,Lake Donald,6.1,6.5,82,6,0.6,4,4,4,1.1,95,10,2.8,2.5,2.3,Browsing,1,5.1,10
Sarah Lee,19,Male,Lake Todd,5.5,9.8,75,0,1.5,3,1,1,1,116,16,2.9,0.5,0.5,Social Media,6,4.9,9.5
Melissa Small,18,Male,South Margaret,7.6,8,73,2,0.9,4,10,9,0.1,140,18,2.3,1.5,3,Browsing,9,6.6,10
Andrea Martinez,16,Male,North Jeffery,6.7,8.2,93,10,1.2,8,10,7,1.1,25,14,1.3,2.1,0.8,Education,3,4.6,9.3
David Williams,17,Male,North Nathanland,5.5,5.7,98,10,0.6,9,7,10,0.6,93,13,4.8,0.8,0.7,Other,8,3.3,10
Kevin Peters,19,Male,Kelleychester,6.3,4.7,52,7,0.7,4,8,6,1.4,112,7,3.9,2.7,2.7,Other,3,4.4,10
Patricia Robertson,15,Male,Port Robertville,4.4,9.7,71,0,3,9,5,6,0,73,9,2.9,1.6,1.2,Browsing,5,5.2,7.3
John Thomas,19,Other,New Luisfort,4,5.8,84,1,0.7,1,6,10,2.4,149,20,2.9,1.8,2.2,Education,9,5.5,10
Thomas Ayers,19,Female,Port Robert,1.5,6.8,60,9,0.3,5,1,7,0.5,114,14,1.5,3.4,0.1,Gaming,3,5.7,8.1
James Sanchez,14,Female,North Matthewberg,3.6,4.4,91,7,0.5,4,4,8,0.8,77,10,2.1,2.3,0.8,Gaming,2,2.6,9.3
Robert Conley,19,Other,Brandonmouth,6,5.3,98,5,0,10,8,5,1,34,8,0.6,1.8,0.8,Gaming,8,7.8,8
Amy Hunt,15,Other,Dannyside,2.6,7,82,10,0.6,4,1,6,1.4,129,7,3.4,2.7,0,Education,6,6.3,9.2
Carlos Hicks,15,Other,North Thomas,4.5,5.3,82,1,1,10,1,7,0.6,83,17,2.7,1.2,1.8,Social Media,10,4.8,10
Meghan Williams,14,Male,Andrewschester,6.2,7.1,87,5,2.2,10,1,9,1.8,53,15,2.1,2.2,0.6,Gaming,6,9.1,10
Holly Dean,13,Female,Port Abigail,2.7,6.7,99,8,0.9,5,4,8,1.6,45,14,2.3,1.6,1.1,Browsing,3,6.8,7
Ray Scott,16,Female,Port Lisafurt,5.1,8.1,90,5,1.3,6,10,8,1.5,103,15,3.4,3.2,1.5,Education,2,7.1,10
Russell Patterson,19,Male,New Randallhaven,5.9,8.2,71,10,1.5,2,5,4,1.4,41,11,3.5,2.8,1.7,Social Media,6,2,10
Erika Moreno,18,Other,New Davidborough,2.1,6,92,8,0.8,2,2,3,1,143,19,2,1.9,2.3,Other,8,4.3,9.7
Brandon Welch,15,Female,Lake Bradley,4.3,5.7,53,8,0.5,5,7,9,1.1,35,6,3.4,0,1.7,Social Media,3,3.9,6.8
Rebekah Harris,17,Male,Ambershire,2.9,7.1,70,6,0.8,4,6,10,0.6,53,8,1.3,0.5,0.5,Other,10,8.6,3.8
Ana Martinez,16,Female,Ramirezfurt,3.4,9.7,71,0,2,4,5,3,1.3,30,11,0.9,1.1,2,Education,8,4.4,3.4
Ashley Hardy,19,Male,Brianhaven,5.4,7.3,97,3,2.5,6,2,9,1,35,19,2.3,1.6,0,Gaming,6,5.4,10
Joseph Brown,15,Female,New Nicholas,3.5,5.5,62,8,1.2,8,4,8,0.2,125,9,2.5,2.3,1.9,Education,2,4.5,9.9
Adam Ho,15,Female,Harrisburgh,5.9,5.3,63,5,0.7,6,3,7,0.4,99,5,3.6,0.3,0.5,Gaming,9,6.5,10
William Norris,18,Female,West Josephmouth,3,4.8,68,7,2.3,3,8,5,0.2,51,8,2.1,1.8,0.3,Social Media,2,5.9,7.1
Elizabeth Wright,14,Female,South Paulside,5.8,4.8,98,7,1.5,6,8,6,0.3,28,20,1,1.4,1.3,Gaming,1,3.3,10
Christopher Harris,18,Other,Jessicaview,5.4,7.2,67,1,0,7,5,4,0.3,96,12,3.1,2.2,1.2,Gaming,2,3.3,10
Diana Armstrong,17,Female,East Tiffanychester,3,6.2,73,8,0,1,9,9,0.7,142,5,1.8,1.5,0.9,Social Media,10,7.9,7
Alicia Robles,13,Male,Cardenasborough,8.1,5.1,68,5,1.1,6,8,3,0,101,14,4.5,0,0,Education,4,6,10
Chad Brown,19,Other,Lake Carolynfort,8.6,6.6,63,7,1.7,3,6,9,1,91,20,3.3,0,0.8,Education,3,6.3,10
